ID,label
420,3
421,3
422,1
423,3
424,2
425,1
426,3
427,0
428,1
429,3
430,0
431,3
432,3
433,3
434,3
435,3
436,3
437,0
438,3
439,3
440,0
441,3
442,3
443,0
444,3
445,3
446,0
447,0
448,3
449,1
450,3
451,3
452,3
453,3
454,3
455,3
456,3
457,3
458,0
459,1
460,3
461,0
462,0
463,3
464,3
465,3
466,0
467,0
468,0
469,3
470,3
471,3
472,2
473,1
474,3
475,3
476,3
477,0
478,3
479,3
480,3
481,0
482,3
483,1
484,3
485,3
486,3
487,3
488,3
489,0
490,3
491,3
492,1
493,1
494,3
495,1
496,0
497,3
498,3
499,0
500,3
501,3
502,1
503,3
504,3
505,3
506,3
507,1
508,0
509,3
510,3
511,0
512,3
513,3
514,0
515,1
516,0
517,3
518,3
519,0
520,1
521,3
522,0
523,3
524,0
525,3
526,1
527,3
528,3
529,3
530,0
531,3
532,3
533,3
534,0
535,2
536,3
537,0
538,3
539,0
540,3
541,3
542,3
543,3
544,0
545,0
546,3
547,1
548,0
549,1
550,3
551,0
552,0
553,1
554,3
555,3
556,1
557,3
558,3
559,3
560,3
561,3
562,3
563,0
564,3
565,0
566,0
567,3
568,0
569,3
570,0
571,3
572,0
573,3
574,1
575,3
576,0
577,3
578,3
579,3
580,0
581,3
582,3
583,0
584,3
585,3
586,0
587,3
588,3
589,1
590,0
591,1
592,3
593,1
594,1
595,3
596,3
597,3
598,3
599,0
600,0
601,3
602,0
603,3
604,3
605,0
606,3
607,3
608,0
609,3
610,3
611,3
612,3
613,3
614,3
615,3
616,3
617,3
618,1
619,3
620,3
621,1
622,3
623,3
624,3
625,3
626,3
627,3
628,0
629,3
630,0
631,3
632,3
633,3
634,0
635,3
636,1
637,3
638,1
639,3
640,3
641,0
642,0
643,3
644,3
645,0
646,1
647,1
648,3
649,3
650,3
651,3
652,3
653,0
654,1
655,0
656,0
657,1
658,0
659,0
660,0
661,2
662,3
663,3
664,3
665,0
666,0
667,3
668,3
669,0
670,1
671,0
672,0
673,0
674,0
675,3
676,0
677,0
678,3
679,0
680,3
681,1
682,0
683,3
684,3
685,3
686,3
687,3
688,3
689,1
690,3
691,1
692,1
693,1
694,3
695,0
696,3
697,0
698,3
699,3
700,0
701,3
702,3
703,3
704,3
705,0
706,3
707,1
708,1
709,3
710,0
711,0
712,3
713,0
714,3
715,3
716,3
717,1
718,0
719,0
720,1
721,3
722,0
723,3
724,0
725,0
726,3
727,3
728,0
729,3
730,3
731,0
732,2
733,0
734,3
735,3
736,3
737,3
738,3
739,0
740,3
741,3
742,3
743,3
744,2
745,3
746,3
747,3
748,3
749,1
750,3
751,3
752,3
753,3
754,0
755,0
756,0
757,3
758,3
759,1
760,3
761,1
762,0
763,0
764,0
765,3
766,0
767,0
768,2
769,0
770,0
771,0
772,0
773,3
774,1
775,0
776,3
777,3
778,3
779,3
780,3
781,1
782,3
783,3
784,3
785,3
786,3
787,3
788,0
789,0
790,3
791,3
792,3
793,3
794,3
795,3
796,3
797,0
798,3
799,0
800,3
801,3
802,3
803,0
804,3
805,3
806,3
807,3
808,3
809,2
810,3
811,1
812,3
813,0
814,0
815,0
816,0
817,3
818,0
819,2
820,1
821,3
822,3
823,3
824,3
825,3
826,0
827,0
828,3
829,0
830,1
831,3
832,3
833,3
834,0
835,0
836,3
837,3
838,0
839,3
840,3
841,3
842,0
843,0
844,3
845,3
846,0
847,0
848,0
849,3
850,3
851,3
852,3
853,0
854,0
855,1
856,3
857,3
858,2
859,0
860,0
861,3
862,0
863,0
864,3
865,3
866,0
867,0
868,3
869,3
870,3
871,3
872,3
873,3
874,3
875,3
876,3
877,3
878,3
879,0
880,3
881,3
882,3
883,0
884,3
885,3
886,0
887,3
888,1
889,3
890,2
891,0
892,0
893,0
894,3
895,1
896,3
897,0
898,3
899,0
900,3
901,3
902,3
903,3
904,3
905,0
906,2
907,3
908,3
909,0
910,3
911,0
912,3
913,1
914,0
915,3
916,0
917,3
918,0
919,3
920,0
921,0
922,0
923,3
924,0
925,0
926,3
927,3
928,3
929,1
930,3
931,3
932,0
933,0
934,3
935,3
936,3
937,3
938,3
939,0
940,3
941,0
942,3
943,3
944,3
945,3
946,3
947,0
948,0
949,0
950,2
951,0
952,3
953,1
954,3
955,0
956,3
957,3
958,0
959,3
960,0
961,3
962,3
963,0
964,3
965,3
966,0
967,3
968,3
969,3
970,1
971,0
972,3
973,0
974,3
975,0
